prompt_set,subset,n,accuracy,macro_f1
A_basic,overall,20000,0.6752,0.6617269703934149
A_basic,catalog_like,7898,0.6853633831349709,0.6556128683466492
A_basic,less_curated,12102,0.6685671789786812,0.6602177537629267
B_fashion_product,overall,20000,0.76225,0.7338884540322139
B_fashion_product,catalog_like,7898,0.7609521397822233,0.7176536240083138
B_fashion_product,less_curated,12102,0.7630970087588829,0.7398887638628434
C_garment_description,overall,20000,0.74585,0.7211393728370781
C_garment_description,catalog_like,7898,0.7495568498354014,0.7128650752019907
C_garment_description,less_curated,12102,0.7434308378780367,0.7224134024552512
