model,task,style_split,class,precision,recall,f1,support
CLIP,sleeve,catalog_like,long sleeve,0.7564802182810368,0.5883289124668435,0.6618919725455088,1885
CLIP,sleeve,catalog_like,short sleeve,0.3812098681987158,0.8513207547169811,0.5266106442577031,1325
CLIP,sleeve,catalog_like,sleeveless,0.9144831557731068,0.6774744027303754,0.7783359882367357,4688
CLIP,sleeve,less_curated,long sleeve,0.8269803454437165,0.6561909262759924,0.7317523056653491,4232
CLIP,sleeve,less_curated,short sleeve,0.3828287017834923,0.859004187994416,0.5296227227083632,2149
CLIP,sleeve,less_curated,sleeveless,0.8842132109155828,0.6061188811188811,0.7192199979255264,5720
BLIP,sleeve,catalog_like,long sleeve,0.7573131094257854,0.7416445623342175,0.7493969445188957,1885
BLIP,sleeve,catalog_like,short sleeve,0.48182283666154635,0.7101886792452831,0.574130567419158,1325
BLIP,sleeve,catalog_like,sleeveless,0.873627714076604,0.7638651877133106,0.8150677136679185,4688
BLIP,sleeve,less_curated,long sleeve,0.8091584751858067,0.7974952741020794,0.8032845412352732,4232
BLIP,sleeve,less_curated,short sleeve,0.4917625116568231,0.7361563517915309,0.5896384644055163,2149
BLIP,sleeve,less_curated,sleeveless,0.8570216376750106,0.7061702499563014,0.7743172017249641,5721
CLIP,pattern,catalog_like,floral,0.6846064814814815,0.7752293577981652,0.7271051014136447,1526
CLIP,pattern,catalog_like,graphic,0.46467817896389324,0.48247758761206194,0.47341063574570175,1227
CLIP,pattern,catalog_like,striped,0.5060639470782801,0.8345454545454546,0.6300617707618394,550
CLIP,pattern,catalog_like,solid,0.8950514779143142,0.7450926181918717,0.8132166566083283,3617
CLIP,pattern,less_curated,floral,0.6379944802207912,0.7393390191897654,0.6849382716049383,1876
CLIP,pattern,less_curated,graphic,0.47569304941743673,0.5587541293062765,0.5138888888888888,2119
CLIP,pattern,less_curated,striped,0.42291285801340645,0.8707653701380176,0.5693191140278917,797
CLIP,pattern,less_curated,solid,0.8906501263496439,0.6610400682011935,0.7588569191622627,5865
BLIP,pattern,catalog_like,floral,0.8802681992337165,0.6022280471821756,0.7151750972762646,1526
BLIP,pattern,catalog_like,graphic,0.5446954813359528,0.9038304808475958,0.6797425681887833,1227
BLIP,pattern,catalog_like,striped,0.8340336134453782,0.7218181818181818,0.7738791423001949,550
BLIP,pattern,catalog_like,solid,0.9473840665873959,0.8811169477467514,0.9130497063457957,3617
BLIP,pattern,less_curated,floral,0.8343949044585988,0.55863539445629,0.669220945083014,1876
BLIP,pattern,less_curated,graphic,0.5805288461538461,0.9117508258612553,0.7093813108132917,2119
BLIP,pattern,less_curated,striped,0.7819843342036553,0.7515683814303639,0.7664747280870121,797
BLIP,pattern,less_curated,solid,0.9483700772564537,0.8581415174765559,0.9010025062656641,5865
CLIP,material,catalog_like,denim,0.4346895074946467,0.8087649402390438,0.5654596100278552,502
CLIP,material,catalog_like,chiffon,0.2955160999097201,0.7738376674546887,0.42770034843205573,1269
CLIP,material,catalog_like,cotton,0.8967509025270758,0.22860298177802318,0.3643297154590789,5433
CLIP,material,catalog_like,leather,0.1928020565552699,0.7009345794392523,0.3024193548387097,107
CLIP,material,catalog_like,knit,0.22136563876651982,0.75,0.34183673469387754,536
CLIP,material,less_curated,denim,0.3485207100591716,0.8511560693641619,0.4945424013434089,692
CLIP,material,less_curated,chiffon,0.30145909327774884,0.7159653465346535,0.42427576090942426,1616
CLIP,material,less_curated,cotton,0.9056994818652849,0.2139273038795741,0.3461043461043461,8171
CLIP,material,less_curated,leather,0.2046556741028128,0.705685618729097,0.3172932330827068,299
CLIP,material,less_curated,knit,0.27309352517985613,0.8001686340640809,0.4072087534863763,1186
BLIP,material,catalog_like,denim,0.7584033613445378,0.7191235059760956,0.7382413087934561,502
BLIP,material,catalog_like,chiffon,0.24452770656675213,0.9771473601260835,0.3911671924290221,1269
BLIP,material,catalog_like,cotton,0.945859872611465,0.21866372170071782,0.3552100463447451,5433
BLIP,material,catalog_like,leather,0.3775933609958506,0.8504672897196262,0.5229885057471264,107
BLIP,material,catalog_like,knit,0.42714819427148193,0.6399253731343284,0.5123226288274833,536
BLIP,material,less_curated,denim,0.6307692307692307,0.7109826589595376,0.6684782608695652,692
BLIP,material,less_curated,chiffon,0.23980926011382864,0.9647277227722773,0.38413206849821363,1616
BLIP,material,less_curated,cotton,0.9565606806986118,0.2614123118345368,0.41061130334486734,8171
BLIP,material,less_curated,leather,0.3390728476821192,0.8561872909698997,0.4857685009487666,299
BLIP,material,less_curated,knit,0.4873156342182891,0.6964586846543002,0.5734120097188476,1186
