model,task,subset,n,accuracy,macro_f1
CLIP,sleeve,catalog_like,7898,0.6853633831349709,0.6556128683466492
CLIP,sleeve,less_curated,12101,0.6685397900999918,0.6601983420997463
CLIP,pattern,catalog_like,6920,0.7122832369942197,0.6609485411323786
CLIP,pattern,less_curated,10657,0.6701698414187858,0.6317507984209954
CLIP,material,catalog_like,7847,0.3959474958582898,0.40034915269031535
CLIP,material,less_curated,11964,0.38900033433634235,0.3978848989852525
BLIP,sleeve,catalog_like,7898,0.7495568498354014,0.7128650752019907
BLIP,sleeve,less_curated,12102,0.7434308378780367,0.7224134024552512
BLIP,pattern,catalog_like,6920,0.8109826589595376,0.7704616285277597
BLIP,pattern,less_curated,10657,0.8081073472834757,0.7615198725622455
BLIP,material,catalog_like,7847,0.4107302153689308,0.5039859364283666
BLIP,material,less_curated,11964,0.44040454697425613,0.5044804286760521
